classId1,rela,classId2
D016601,isa,D002352
D016601,isa,D009698
D051959,isa,D000067776
D051959,isa,D009419
Z2,isa,Z1
D000067776,isa,D016601
D000067779,isa,D051959
D000602,isa,Z2
D002352,isa,D011506
D009419,isa,D011506
D009698,isa,D011506
D011506,isa,D000602
D016601,isa,D002352
D016601,isa,D009698
D051959,isa,D000067776
D051959,isa,D009419
Z2,isa,Z1
D000067776,isa,D016601
D000067780,isa,D051959
D000602,isa,Z2
D002352,isa,D011506
D009419,isa,D011506
D009698,isa,D011506
D011506,isa,D000602
D016601,isa,D002352
D016601,isa,D009698
D051959,isa,D000067776
D051959,isa,D009419
Z2,isa,Z1
D000067816,isa,D008894
D000080224,isa,D004044
D000602,isa,Z2
D004044,isa,D011506
D008894,isa,D000080224
D011506,isa,D000602
Z2,isa,Z1
D000067776,isa,D016601
D000067878,isa,D000067776
D000602,isa,Z2
D002352,isa,D011506
D009698,isa,D011506
D011506,isa,D000602
D016601,isa,D002352
D016601,isa,D009698
Z2,isa,Z1
D000067776,isa,D016601
D000067878,isa,D000067776
D000067879,isa,D000067878
D000602,isa,Z2
D002352,isa,D011506
D009698,isa,D011506
D011506,isa,D000602
D016601,isa,D002352
D016601,isa,D009698
Z2,isa,Z1
D000068103,isa,D000072260
D000072260,isa,D016601
D000602,isa,Z2
D002352,isa,D011506
D009698,isa,D011506
D011506,isa,D000602
D016601,isa,D002352
D016601,isa,D009698
Z2,isa,Z1
D000068180,isa,D010879
D000068180,isa,D015363
D000072471,isa,D006571
D006571,isa,Z2
D006573,isa,D006571
D006574,isa,D000072471
D010879,isa,D006573
D011804,isa,D006574
D015363,isa,D011804
Z2,isa,Z1
D000068196,isa,D000418
D000068196,isa,D017239
D000418,isa,D011506
D000602,isa,Z2
D003516,isa,D006840
D003516,isa,D047028
D004224,isa,D013729
D006838,isa,D009930
D006840,isa,D006844
D006844,isa,D006838
D009930,isa,Z2
D011083,isa,Z2
D011506,isa,D000602
D013729,isa,D006838
D017239,isa,D043823
D043822,isa,D003516
D043823,isa,D004224
D043823,isa,D043822
D047028,isa,D011083
Z2,isa,Z1
D000068238,isa,D000527
D000527,isa,D005229
D000527,isa,D011458
D001685,isa,Z2
D005227,isa,D008055
D005229,isa,D005231
D005231,isa,D005227
D008055,isa,Z2
D011453,isa,D015777
D011458,isa,D011453
D012898,isa,D018836
D015777,isa,D005231
D015777,isa,D012898
D018836,isa,D001685
Z2,isa,Z1
D000068256,isa,D004921
D000602,isa,Z2
D001685,isa,Z2
D002241,isa,Z2
D003115,isa,D006023
D003115,isa,D016298
D004921,isa,D003115
D006001,isa,D002241
D006023,isa,D006001
D006023,isa,D011506
D010455,isa,D000602
D011506,isa,D000602
D016207,isa,D036341
D016298,isa,D016207
D036341,isa,D001685
D036341,isa,D010455
D036341,isa,D011506
Z2,isa,Z1
D000068257,isa,D000068679
D000068257,isa,D000068698
D000068257,isa,D004338
D000068257,isa,D010078
D000068679,isa,D003841
D000068698,isa,D000225
D000068698,isa,D063065
D000072471,isa,D006571
D000225,isa,D011687
D002241,isa,Z2
D003562,isa,D011741
D003562,isa,D012263
D003841,isa,D003562
D003841,isa,D003853
D003853,isa,D009705
D004338,isa,D004364
D004364,isa,Z2
D006027,isa,D002241
D006571,isa,Z2
D006573,isa,D006571
D006574,isa,D000072471
D009705,isa,D006027
D009705,isa,D009706
D009706,isa,Z2
D009930,isa,Z2
D009943,isa,D009930
D010078,isa,D006573
D011687,isa,D006574
D011741,isa,D009705
D011741,isa,D011743
D011743,isa,D006573
D012263,isa,D009705
D063065,isa,D009943
Z2,isa,Z1
D000068258,isa,D061067
D000602,isa,Z2
D000906,isa,D007136
D000911,isa,D000906
D001798,isa,D011506
D005916,isa,D011506
D007136,isa,D007162
D007136,isa,D012712
D007162,isa,D001798
D011506,isa,D000602
D012712,isa,D001798
D012712,isa,D005916
D061067,isa,D000911
Z2,isa,Z1
D000068296,isa,D004164
D000068296,isa,D011725
D004164,isa,D063065
D006571,isa,Z2
D006573,isa,D006571
D009930,isa,Z2
D009943,isa,D009930
D011725,isa,D006573
D063065,isa,D009943
Z2,isa,Z1
D000068297,isa,D000068298
D000068297,isa,D000068299
D000068297,isa,D004338
D000068298,isa,D000730
D000068299,isa,D000420
D000072473,isa,D011083
D000420,isa,D004983
D000420,isa,D010627
D000431,isa,D000438
D000438,isa,D009930
D000588,isa,D009930
D000605,isa,D000438
D000605,isa,D000588
D000730,isa,D000736
D000731,isa,D013256
D000736,isa,D000731
D004338,isa,D004364
D004364,isa,Z2
D004983,isa,D000431
D004983,isa,D000605
D005021,isa,D000588
D009930,isa,Z2
D010627,isa,D005021
D011083,isa,Z2
D013256,isa,D000072473
Z2,isa,Z1
D000068298,isa,D000730
D000072473,isa,D011083
D000730,isa,D000736
D000731,isa,D013256
D000736,isa,D000731
D011083,isa,Z2
D013256,isa,D000072473
Z2,isa,Z1
D000068299,isa,D000420
D000420,isa,D004983
D000420,isa,D010627
D000431,isa,D000438
D000438,isa,D009930
D000588,isa,D009930
D000605,isa,D000438
D000605,isa,D000588
D004983,isa,D000431
D004983,isa,D000605
D005021,isa,D000588
D009930,isa,Z2
D010627,isa,D005021
Z2,isa,Z1
D000068338,isa,D020123
D007783,isa,D009930
D009930,isa,Z2
D011083,isa,Z2
D018942,isa,D007783
D018942,isa,D061065
D020123,isa,D018942
D047028,isa,D011083
D061065,isa,D007783
D061065,isa,D047028
Z2,isa,Z1
D000068342,isa,D001241
D000068342,isa,D004176
D000068342,isa,D004338
D000146,isa,D002264
D001241,isa,D012459
D001555,isa,D006841
D001565,isa,D000146
D001565,isa,D001555
D002264,isa,D009930
D004176,isa,D011743
D004338,isa,D004364
D004364,isa,Z2
D006571,isa,Z2
D006573,isa,D006571
D006838,isa,D009930
D006841,isa,D006844
D006844,isa,D006838
D006880,isa,D002264
D009930,isa,Z2
D010636,isa,D001555
D011743,isa,D006573
D012459,isa,D062385
D062385,isa,D001565
D062385,isa,D006880
D062385,isa,D010636
Z2,isa,Z1
D000068437,isa,D005971
D000068437,isa,D006147
D000072471,isa,D006571
D000596,isa,D000602
D000600,isa,D000596
D000602,isa,Z2
D005971,isa,D000600
D005971,isa,D024342
D006147,isa,D007042
D006571,isa,Z2
D006574,isa,D000072471
D007042,isa,D011688
D011687,isa,D006574
D011688,isa,D011687
D024342,isa,D000596
Z2,isa,Z1
D000068438,isa,D011810
D000072471,isa,D006571
D006571,isa,Z2
D006574,isa,D000072471
D011810,isa,D006574
Z2,isa,Z1
D000068538,isa,D001378
D000072473,isa,D011083
D001378,isa,D013260
D011083,isa,Z2
D013256,isa,D000072473
D013260,isa,D013256
Z2,isa,Z1
D000068556,isa,D016899
D000602,isa,Z2
D001685,isa,Z2
D007370,isa,D007372
D007372,isa,D016207
D010455,isa,D000602
D011506,isa,D000602
D016207,isa,D036341
D016899,isa,D007370
D036341,isa,D001685
D036341,isa,D010455
D036341,isa,D011506
Z2,isa,Z1
D000068557,isa,D007093
D000068557,isa,D013777
D001393,isa,D006573
D006571,isa,Z2
D006573,isa,D006571
D007093,isa,D001393
D013777,isa,D001393
Z2,isa,Z1
D000068557,isa,D007093
D000068557,isa,D013777
D000068558,isa,D000068557
D000068558,isa,D004338
D000068558,isa,D017311
D001393,isa,D006573
D004095,isa,D011725
D004338,isa,D004364
D004364,isa,Z2
D006571,isa,Z2
D006573,isa,D006571
D007093,isa,D001393
D011725,isa,D006573
D013777,isa,D001393
D017311,isa,D004095
Z2,isa,Z1
D000068576,isa,D016899
D000602,isa,Z2
D001685,isa,Z2
D007370,isa,D007372
D007372,isa,D016207
D010455,isa,D000602
D011506,isa,D000602
D016207,isa,D036341
D016899,isa,D007370
D036341,isa,D001685
D036341,isa,D010455
D036341,isa,D011506
Z2,isa,Z1
D000068577,isa,D001578
D000068577,isa,D004983
D000072471,isa,D006571
D000431,isa,D000438
D000438,isa,D009930
D000588,isa,D009930
D000605,isa,D000438
D000605,isa,D000588
D001578,isa,D006574
D001578,isa,D011714
D004983,isa,D000431
D004983,isa,D000605
D006571,isa,Z2
D006573,isa,D006571
D006574,isa,D000072471
D009930,isa,Z2
D011714,isa,D006573
Z2,isa,Z1
D000068579,isa,D011720
D000068579,isa,D013449
D000577,isa,D009930
D001393,isa,D006573
D006571,isa,Z2
D006573,isa,D006571
D007287,isa,Z2
D009930,isa,Z2
D011720,isa,D001393
D013449,isa,D000577
D013449,isa,D013450
D013450,isa,D013457
D013457,isa,D007287
D013457,isa,D009930
Z2,isa,Z1
D000068580,isa,D001552
D000068580,isa,D011810
D000072471,isa,D006571
D001552,isa,D006574
D006571,isa,Z2
D006574,isa,D000072471
D011810,isa,D006574
Z2,isa,Z1
D000068581,isa,D002243
D000072471,isa,D006571
D000470,isa,D006571
D002243,isa,D006575
D002243,isa,D011725
D002243,isa,D026121
D006571,isa,Z2
D006573,isa,D006571
D006574,isa,D000072471
D006575,isa,D000072471
D007211,isa,D006574
D007212,isa,D006574
D011725,isa,D006573
D026121,isa,D000470
D026121,isa,D007211
D026121,isa,D054836
D054836,isa,D007212
Z2,isa,Z1
D000068582,isa,D007140
D000068582,isa,D011092
D000068582,isa,D061067
D000438,isa,D009930
D000602,isa,Z2
D000906,isa,D007136
D000911,isa,D000906
D001697,isa,D020313
D001697,isa,Z2
D001798,isa,D011506
D005026,isa,D006018
D005916,isa,D011506
D006018,isa,D000438
D007128,isa,D007136
D007128,isa,D010446
D007136,isa,D007162
D007136,isa,D012712
D007140,isa,D007128
D007162,isa,D001798
D009930,isa,Z2
D010446,isa,D010455
D010455,isa,D000602
D011092,isa,D005026
D011092,isa,D011108
D011108,isa,D001697
D011108,isa,D046911
D011506,isa,D000602
D012712,isa,D001798
D012712,isa,D005916
D020164,isa,Z2
D020313,isa,D020164
D046911,isa,Z2
D061067,isa,D000911
Z2,isa,Z1
D000068438,isa,D011810
D000068599,isa,D000068438
D000068599,isa,D004338
D000068599,isa,D013999
D000072471,isa,D006571
D000438,isa,D009930
D000588,isa,D009930
D000605,isa,D000438
D000605,isa,D000588
D001393,isa,D006573
D004338,isa,D004364
D004364,isa,Z2
D006571,isa,Z2
D006573,isa,D006571
D006574,isa,D000072471
D007287,isa,Z2
D009025,isa,D010078
D009930,isa,Z2
D010078,isa,D006573
D011412,isa,D000605
D011412,isa,D020005
D011810,isa,D006574
D013457,isa,D007287
D013457,isa,D009930
D013830,isa,D013844
D013844,isa,D001393
D013844,isa,D013457
D013999,isa,D009025
D013999,isa,D011412
D013999,isa,D013830
D020005,isa,D000438
Z2,isa,Z1
D000068600,isa,D000420
D000068600,isa,D004338
D000068600,isa,D009241
D000420,isa,D004983
D000420,isa,D010627
D000431,isa,D000438
D000438,isa,D009930
D000470,isa,D006571
D000588,isa,D009930
D000605,isa,D000438
D000605,isa,D000588
D001286,isa,D001533
D001286,isa,D014326
D001372,isa,D009930
D001533,isa,D012991
D001533,isa,D014326
D004338,isa,D004364
D004364,isa,Z2
D004983,isa,D000431
D004983,isa,D000605
D005021,isa,D000588
D006571,isa,Z2
D006572,isa,D006571
D009241,isa,D001286
D009930,isa,Z2
D010627,isa,D005021
D012991,isa,D000470
D014326,isa,D000470
D014326,isa,D006572
D014326,isa,D053961
D019086,isa,D006572
D053961,isa,D001372
D053961,isa,D019086
Z2,isa,Z1
D000068656,isa,D011244
D000072473,isa,D011083
D011083,isa,Z2
D011244,isa,D011245
D011245,isa,D011278
D011278,isa,D013256
D013256,isa,D000072473
Z2,isa,Z1
D000068677,isa,D010879
D000068677,isa,D011687
D000068677,isa,D013449
D000072471,isa,D006571
D000577,isa,D009930
D006571,isa,Z2
D006573,isa,D006571
D006574,isa,D000072471
D007287,isa,Z2
D009930,isa,Z2
D010879,isa,D006573
D011687,isa,D006574
D013449,isa,D000577
D013449,isa,D013450
D013450,isa,D013457
D013457,isa,D007287
D013457,isa,D009930
Z2,isa,Z1
D000068678,isa,D000068679
D000068678,isa,D000068696
D000068678,isa,D000068698
D000068678,isa,D004338
D000068679,isa,D003841
D000068696,isa,D009570
D000068696,isa,D011743
D000068698,isa,D000225
D000068698,isa,D063065
D000072471,isa,D006571
D000225,isa,D011687
D002241,isa,Z2
D003562,isa,D011741
D003562,isa,D012263
D003841,isa,D003562
D003841,isa,D003853
D003853,isa,D009705
D004338,isa,D004364
D004364,isa,Z2
D006027,isa,D002241
D006571,isa,Z2
D006573,isa,D006571
D006574,isa,D000072471
D009570,isa,D009930
D009705,isa,D006027
D009705,isa,D009706
D009706,isa,Z2
D009930,isa,Z2
D009943,isa,D009930
D011687,isa,D006574
D011741,isa,D009705
D011741,isa,D011743
D011743,isa,D006573
D012263,isa,D009705
D063065,isa,D009943
Z2,isa,Z1
D000068679,isa,D003841
D002241,isa,Z2
D003562,isa,D011741
D003562,isa,D012263
D003841,isa,D003562
D003841,isa,D003853
D003853,isa,D009705
D006027,isa,D002241
D006571,isa,Z2
D006573,isa,D006571
D009705,isa,D006027
D009705,isa,D009706
D009706,isa,Z2
D011741,isa,D009705
D011741,isa,D011743
D011743,isa,D006573
D012263,isa,D009705
Z2,isa,Z1
D000068696,isa,D009570
D000068696,isa,D011743
D006571,isa,Z2
D006573,isa,D006571
D009570,isa,D009930
D009930,isa,Z2
D011743,isa,D006573
Z2,isa,Z1
D000068698,isa,D000225
D000068698,isa,D063065
D000072471,isa,D006571
D000225,isa,D011687
D006571,isa,Z2
D006574,isa,D000072471
D009930,isa,Z2
D009943,isa,D009930
D011687,isa,D006574
D063065,isa,D009943
Z2,isa,Z1
D000068717,isa,D010455
D000602,isa,Z2
D010455,isa,D000602
Z2,isa,Z1
D000068718,isa,D005464
D000068718,isa,D011743
D000068718,isa,D013449
D000577,isa,D009930
D001555,isa,D006841
D005464,isa,D001555
D005464,isa,D006845
D006571,isa,Z2
D006573,isa,D006571
D006838,isa,D009930
D006841,isa,D006844
D006844,isa,D006838
D006845,isa,D006846
D006846,isa,D006838
D007287,isa,Z2
D009930,isa,Z2
D011743,isa,D006573
D013449,isa,D000577
D013449,isa,D013450
D013450,isa,D013457
D013457,isa,D007287
D013457,isa,D009930
Z2,isa,Z1
D000068736,isa,D013876
D006571,isa,Z2
D006573,isa,D006571
D007287,isa,Z2
D009930,isa,Z2
D013457,isa,D007287
D013457,isa,D009930
D013876,isa,D006573
D013876,isa,D013457
Z2,isa,Z1
D000068737,isa,D001559
D000068737,isa,D003408
D000068737,isa,D010665
D000438,isa,D009930
D000588,isa,D009930
D000605,isa,D000438
D000605,isa,D000588
D001555,isa,D006841
D001559,isa,D001555
D003408,isa,D010636
D006838,isa,D009930
D006841,isa,D006844
D006844,isa,D006838
D009930,isa,Z2
D010636,isa,D001555
D010665,isa,D011412
D011412,isa,D000605
D011412,isa,D020005
D020005,isa,D000438
Z2,isa,Z1
D000068756,isa,D013777
D000068756,isa,D014633
D000596,isa,D000602
D000597,isa,D000596
D000601,isa,D000596
D000602,isa,Z2
D001393,isa,D006573
D006571,isa,Z2
D006573,isa,D006571
D013777,isa,D001393
D014633,isa,D000597
D014633,isa,D000601
Z2,isa,Z1
D000068656,isa,D011244
D000068758,isa,D000068656
D000068758,isa,D000068759
D000068758,isa,D004338
D000068759,isa,D004983
D000072473,isa,D011083
D000431,isa,D000438
D000438,isa,D009930
D000588,isa,D009930
D000605,isa,D000438
D000605,isa,D000588
D004338,isa,D004364
D004364,isa,Z2
D004983,isa,D000431
D004983,isa,D000605
D009930,isa,Z2
D011083,isa,Z2
D011244,isa,D011245
D011245,isa,D011278
D011278,isa,D013256
D013256,isa,D000072473
Z2,isa,Z1
D000068759,isa,D004983
D000431,isa,D000438
D000438,isa,D009930
D000588,isa,D009930
D000605,isa,D000438
D000605,isa,D000588
D004983,isa,D000431
D004983,isa,D000605
D009930,isa,Z2
Z2,isa,Z1
D000068797,isa,D009479
D000602,isa,Z2
D009419,isa,D011506
D009479,isa,D009419
D009479,isa,D010455
D010455,isa,D000602
D011506,isa,D000602
Z2,isa,Z1
D000068799,isa,D010879
D000068799,isa,D013876
D006571,isa,Z2
D006573,isa,D006571
D007287,isa,Z2
D009930,isa,Z2
D010879,isa,D006573
D013457,isa,D007287
D013457,isa,D009930
D013876,isa,D006573
D013876,isa,D013457
Z2,isa,Z1
D000068800,isa,D007141
D000068800,isa,D018124
D000602,isa,Z2
D001798,isa,D011506
D005916,isa,D011506
D007127,isa,D007136
D007128,isa,D007136
D007128,isa,D010446
D007136,isa,D007162
D007136,isa,D012712
D007141,isa,D007127
D007141,isa,D007128
D007162,isa,D001798
D008565,isa,D011506
D010446,isa,D010455
D010455,isa,D000602
D011506,isa,D000602
D011956,isa,D008565
D011971,isa,D011956
D012712,isa,D001798
D012712,isa,D005916
D018121,isa,D011971
D018124,isa,D018121
Z2,isa,Z1
D000068801,isa,D000068816
D000068801,isa,D001585
D000068801,isa,D004338
