ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
N0000000056,N0000000056,0,0
N0000000056,N0000000057,1,1
N0000000056,N0000000058,1,1
N0000000057,N0000000057,0,0
N0000000058,N0000000058,0,0
N0000000059,N0000000059,0,0
N0000000059,N0000000060,1,1
N0000000059,N0000000061,1,1
N0000000059,N0000000062,1,1
N0000000060,N0000000060,0,0
N0000000061,N0000000061,0,0
N0000000062,N0000000062,0,0
N0000000063,N0000000063,0,0
N0000000064,N0000000064,0,0
