concept_code,standard_concept,class_type
N0000009950,C,MOA
N0000009953,C,MOA
N0000009954,C,MOA
N0000009956,C,MOA
N0000009963,C,MOA
N0000009986,C,MOA
N0000010217,C,MOA
N0000010226,C,MOA
N0000010257,C,MOA
N0000010258,C,MOA
N0000010259,C,MOA
N0000010261,C,MOA
N0000010262,C,MOA
N0000010267,C,MOA
N0000010275,C,MOA
N0000010278,C,MOA
N0000010279,C,MOA
N0000010281,C,MOA
N0000010288,C,MOA
N0000011310,C,MOA
N0000020000,C,MOA
N0000020001,C,MOA
N0000020006,C,MOA
N0000020007,C,MOA
N0000020008,C,MOA
N0000020009,C,MOA
N0000020010,C,MOA
N0000020014,C,MOA
N0000020015,C,MOA
N0000020016,C,MOA
N0000020018,C,MOA
N0000020019,C,MOA
N0000020023,C,MOA
N0000020024,C,MOA
N0000020026,C,MOA
N0000020027,C,MOA
N0000020028,C,MOA
N0000020030,C,MOA
N0000020032,C,MOA
N0000020034,C,MOA
N0000020044,C,MOA
N0000020057,C,MOA
N0000020058,C,MOA
N0000020060,C,MOA
N0000020061,C,MOA
N0000020062,C,MOA
N0000020064,C,MOA
N0000020068,C,MOA
N0000020069,C,MOA
N0000020074,C,MOA
N0000020080,C,MOA
N0000020081,C,MOA
N0000020089,C,MOA
N0000175071,C,MOA
N0000175074,C,MOA
N0000175075,C,MOA
N0000175076,C,MOA
N0000175077,C,MOA
N0000175078,C,MOA
N0000175079,C,MOA
N0000175080,C,MOA
N0000175082,C,MOA
N0000175084,C,MOA
N0000175086,C,MOA
N0000175087,C,MOA
N0000175089,C,MOA
N0000175355,C,MOA
N0000175356,C,MOA
N0000175357,C,MOA
N0000175361,C,MOA
N0000175362,C,MOA
N0000175364,C,MOA
N0000175365,C,MOA
N0000175368,C,MOA
N0000175369,C,MOA
N0000175370,C,MOA
N0000175374,C,MOA
N0000175375,C,MOA
N0000175411,C,MOA
N0000175436,C,MOA
N0000175444,C,MOA
N0000175445,C,MOA
N0000175448,C,MOA
N0000175450,C,MOA
