concept_code,standard_concept,class_type
N0000009196,C,PE
N0000009197,C,PE
N0000009198,C,PE
N0000009229,C,PE
N0000009234,C,PE
N0000009242,C,PE
N0000009243,C,PE
N0000009247,C,PE
N0000009250,C,PE
N0000009251,C,PE
N0000009253,C,PE
N0000009260,C,PE
N0000009263,C,PE
N0000009267,C,PE
N0000009268,C,PE
N0000009269,C,PE
N0000009270,C,PE
N0000009271,C,PE
N0000009272,C,PE
N0000009273,C,PE
N0000009274,C,PE
N0000009275,C,PE
N0000009276,C,PE
N0000009277,C,PE
N0000009278,C,PE
N0000009279,C,PE
N0000009280,C,PE
N0000009282,C,PE
N0000009284,C,PE
N0000009286,C,PE
N0000009292,C,PE
N0000009294,C,PE
N0000009317,C,PE
N0000009319,C,PE
N0000009320,C,PE
N0000009321,C,PE
N0000009322,C,PE
N0000009323,C,PE
N0000009325,C,PE
N0000009326,C,PE
N0000009327,C,PE
N0000009329,C,PE
N0000009332,C,PE
N0000009333,C,PE
N0000009334,C,PE
N0000009336,C,PE
N0000009337,C,PE
N0000009338,C,PE
N0000009339,C,PE
N0000009340,C,PE
N0000009341,C,PE
N0000009342,C,PE
N0000009344,C,PE
N0000009345,C,PE
N0000009346,C,PE
N0000009347,C,PE
N0000009348,C,PE
N0000009350,C,PE
N0000009351,C,PE
N0000009352,C,PE
N0000009353,C,PE
N0000009354,C,PE
N0000009355,C,PE
N0000009356,C,PE
N0000009358,C,PE
N0000009359,C,PE
N0000009360,C,PE
N0000009370,C,PE
N0000009371,C,PE
N0000009372,C,PE
N0000009376,C,PE
N0000009378,C,PE
N0000009379,C,PE
N0000009380,C,PE
N0000009381,C,PE
N0000009382,C,PE
N0000009385,C,PE
N0000009386,C,PE
N0000009387,C,PE
N0000009390,C,PE
N0000009391,C,PE
N0000009392,C,PE
N0000009393,C,PE
N0000009395,C,PE
N0000009397,C,PE
N0000009399,C,PE
N0000009423,C,PE
N0000009427,C,PE
N0000009437,C,PE
N0000009446,C,PE
N0000009450,C,PE
N0000009451,C,PE
N0000009453,C,PE
N0000009455,C,PE
N0000009456,C,PE
N0000009457,C,PE
N0000009458,C,PE
N0000009460,C,PE
N0000009461,C,PE
N0000009463,C,PE
N0000009471,C,PE
N0000009494,C,PE
N0000009509,C,PE
N0000009515,C,PE
N0000009518,C,PE
N0000009521,C,PE
N0000009524,C,PE
N0000009525,C,PE
N0000009526,C,PE
N0000009528,C,PE
N0000009531,C,PE
N0000009533,C,PE
N0000009535,C,PE
N0000009537,C,PE
N0000009538,C,PE
N0000009540,C,PE
N0000009544,C,PE
N0000009546,C,PE
N0000009547,C,PE
N0000009548,C,PE
N0000009549,C,PE
N0000009550,C,PE
N0000009551,C,PE
N0000009552,C,PE
N0000009553,C,PE
N0000009554,C,PE
N0000009556,C,PE
N0000009557,C,PE
N0000009560,C,PE
N0000009578,C,PE
N0000009583,C,PE
N0000009585,C,PE
N0000009587,C,PE
N0000009591,C,PE
N0000009617,C,PE
N0000009628,C,PE
N0000009645,C,PE
N0000009665,C,PE
N0000009689,C,PE
N0000009693,C,PE
N0000009694,C,PE
N0000009695,C,PE
N0000009698,C,PE
N0000009699,C,PE
N0000009700,C,PE
N0000009701,C,PE
N0000009703,C,PE
N0000009707,C,PE
N0000009708,C,PE
N0000009710,C,PE
N0000009715,C,PE
N0000009717,C,PE
N0000009722,C,PE
N0000009723,C,PE
N0000009724,C,PE
N0000009725,C,PE
N0000009726,C,PE
N0000009727,C,PE
N0000009730,C,PE
N0000009733,C,PE
N0000009735,C,PE
N0000009736,C,PE
N0000009737,C,PE
N0000009738,C,PE
N0000009741,C,PE
N0000009742,C,PE
N0000009744,C,PE
N0000009745,C,PE
N0000009746,C,PE
N0000009749,C,PE
N0000009750,C,PE
N0000009752,C,PE
N0000009753,C,PE
N0000009754,C,PE
N0000009757,C,PE
N0000009758,C,PE
N0000009761,C,PE
N0000009762,C,PE
N0000009763,C,PE
N0000009764,C,PE
N0000009765,C,PE
N0000009766,C,PE
N0000009767,C,PE
N0000009769,C,PE
N0000009771,C,PE
N0000009772,C,PE
N0000009773,C,PE
N0000009777,C,PE
N0000009778,C,PE
N0000009779,C,PE
N0000009780,C,PE
N0000009781,C,PE
N0000009782,C,PE
N0000009789,C,PE
N0000009790,C,PE
N0000009791,C,PE
N0000009792,C,PE
N0000009793,C,PE
N0000009794,C,PE
N0000009795,C,PE
N0000009796,C,PE
N0000009797,C,PE
N0000009798,C,PE
N0000009799,C,PE
N0000009800,C,PE
N0000009803,C,PE
N0000009806,C,PE
N0000009807,C,PE
N0000009808,C,PE
N0000009809,C,PE
N0000009810,C,PE
N0000009811,C,PE
N0000009813,C,PE
N0000009814,C,PE
N0000009816,C,PE
N0000009818,C,PE
N0000009820,C,PE
N0000009821,C,PE
N0000009822,C,PE
N0000009825,C,PE
N0000009826,C,PE
N0000009829,C,PE
N0000009830,C,PE
N0000009831,C,PE
N0000009836,C,PE
N0000009837,C,PE
N0000009840,C,PE
N0000009841,C,PE
N0000009842,C,PE
N0000009843,C,PE
N0000009844,C,PE
N0000009845,C,PE
N0000009846,C,PE
N0000009847,C,PE
N0000009852,C,PE
N0000009853,C,PE
N0000009854,C,PE
N0000009857,C,PE
N0000009860,C,PE
N0000009861,C,PE
N0000009862,C,PE
N0000009863,C,PE
N0000009864,C,PE
N0000009867,C,PE
N0000009868,C,PE
N0000009869,C,PE
N0000009870,C,PE
N0000009871,C,PE
N0000009872,C,PE
N0000009873,C,PE
N0000009874,C,PE
N0000009875,C,PE
N0000009876,C,PE
N0000009877,C,PE
N0000009878,C,PE
N0000009880,C,PE
N0000009882,C,PE
N0000009883,C,PE
N0000009887,C,PE
N0000009890,C,PE
N0000009892,C,PE
N0000009893,C,PE
N0000009894,C,PE
N0000009895,C,PE
N0000009896,C,PE
N0000009900,C,PE
N0000009902,C,PE
N0000009903,C,PE
N0000009904,C,PE
N0000009910,C,PE
N0000009911,C,PE
N0000009925,C,PE
N0000009928,C,PE
N0000009929,C,PE
N0000009930,C,PE
N0000009931,C,PE
N0000009932,C,PE
N0000009933,C,PE
N0000009934,C,PE
N0000009935,C,PE
N0000009936,C,PE
N0000009939,C,PE
N0000009941,C,PE
N0000009942,C,PE
N0000009943,C,PE
N0000009944,C,PE
N0000009964,C,PE
N0000009965,C,PE
N0000009970,C,PE
N0000009973,C,PE
N0000009974,C,PE
N0000009975,C,PE
N0000009976,C,PE
N0000009977,C,PE
N0000009978,C,PE
N0000009979,C,PE
N0000009982,C,PE
N0000010222,C,PE
N0000010228,C,PE
N0000010229,C,PE
N0000010230,C,PE
N0000010231,C,PE
N0000010232,C,PE
N0000010233,C,PE
N0000010235,C,PE
N0000010236,C,PE
N0000010237,C,PE
N0000010240,C,PE
N0000010246,C,PE
N0000010248,C,PE
N0000010250,C,PE
N0000010252,C,PE
N0000010253,C,PE
N0000010269,C,PE
N0000010271,C,PE
N0000010282,C,PE
N0000010283,C,PE
N0000010287,C,PE
N0000019996,C,PE
N0000019997,C,PE
N0000019999,C,PE
N0000020003,C,PE
N0000020005,C,PE
N0000020013,C,PE
N0000020020,C,PE
N0000020022,C,PE
N0000020040,C,PE
N0000020041,C,PE
N0000020042,C,PE
N0000020054,C,PE
N0000175085,C,PE
N0000175358,C,PE
N0000175359,C,PE
N0000175360,C,PE
N0000175366,C,PE
N0000175371,C,PE
N0000175372,C,PE
N0000175373,C,PE
N0000175379,C,PE
N0000175395,C,PE
N0000175439,C,PE
N0000175527,C,PE
N0000175528,C,PE
N0000175626,C,PE
N0000175627,C,PE
N0000175628,C,PE
N0000175629,C,PE
N0000175631,C,PE
N0000175632,C,PE
N0000175633,C,PE
N0000175643,C,PE
N0000175644,C,PE
N0000175646,C,PE
N0000175648,C,PE
N0000175649,C,PE
N0000175650,C,PE
N0000175672,C,PE
N0000175673,C,PE
N0000175674,C,PE
