ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
N0000178293,N0000178293,0,0
N0000178293,N0000178294,1,1
N0000178293,N0000178295,1,1
N0000178293,N0000178296,2,2
N0000178293,N0000178297,2,2
N0000178293,N0000178298,2,2
N0000178293,N0000178299,2,2
N0000178293,N0000178300,2,2
N0000178293,N0000178301,2,2
N0000178293,N0000178302,2,2
N0000178293,N0000178303,2,2
N0000178293,N0000178304,2,2
N0000178293,N0000178305,2,2
N0000178293,N0000178306,1,1
N0000178293,N0000178307,1,1
N0000178293,N0000178308,1,1
N0000178293,N0000178309,1,1
N0000178293,N0000178310,2,2
N0000178293,N0000178311,2,2
N0000178293,N0000178312,1,1
N0000178293,N0000178313,2,2
N0000178293,N0000178314,2,2
N0000178293,N0000178315,2,2
N0000178293,N0000178316,2,2
N0000178293,N0000178317,1,1
N0000178293,N0000178318,1,1
N0000178293,N0000178319,2,2
N0000178293,N0000178370,1,1
N0000178293,N0000178371,2,2
N0000178293,N0000178373,2,2
N0000178293,N0000193809,1,1
N0000178293,N0000193810,1,1
N0000178293,N0000193811,1,1
N0000178293,N0000193812,1,1
N0000178293,N0000193813,1,1
N0000178293,N0000193814,1,1
N0000178293,N0000193815,1,1
N0000178293,N0000193816,1,1
N0000178293,N0000193817,1,1
N0000178293,N0000193818,1,1
N0000178293,N0000193819,1,1
N0000178293,N0000193820,1,1
N0000178293,N0000193821,1,1
N0000178293,N0000193822,1,1
N0000178293,N0000193823,1,1
N0000178293,N0000193824,1,1
N0000178293,N0000193825,1,1
N0000178293,N0000193826,1,1
N0000178293,N0000193827,2,2
N0000178293,N0000193828,2,2
N0000178293,N0000193829,2,2
N0000178293,N0000193830,2,2
N0000178293,N0000193831,2,2
N0000178293,N0000193832,2,2
N0000178293,N0000193833,2,2
N0000178293,N0000193834,2,2
N0000178293,N0000193835,2,2
N0000178293,N0000193836,1,1
N0000178293,N0000193837,1,1
N0000178293,N0000193838,1,1
N0000178293,N0000193839,1,1
N0000178293,N0000193840,1,1
N0000178293,N0000193841,1,1
N0000178293,N0000193842,1,1
N0000178293,N0000193843,1,1
N0000178293,N0000193844,1,1
N0000178294,N0000178294,0,0
N0000178295,N0000178295,0,0
N0000178295,N0000178296,1,1
N0000178295,N0000178297,1,1
N0000178295,N0000178298,1,1
N0000178295,N0000178299,1,1
N0000178295,N0000178300,1,1
N0000178295,N0000178301,1,1
N0000178295,N0000178302,1,1
N0000178295,N0000178303,1,1
N0000178295,N0000178304,1,1
N0000178295,N0000178305,1,1
N0000178306,N0000178306,0,0
N0000178307,N0000178307,0,0
N0000178308,N0000178308,0,0
N0000178309,N0000178309,0,0
N0000178309,N0000178310,1,1
N0000178309,N0000178311,1,1
N0000178312,N0000178312,0,0
N0000178312,N0000178313,1,1
N0000178312,N0000178314,1,1
N0000178312,N0000178315,1,1
N0000178312,N0000178316,1,1
N0000178312,N0000178371,1,1
N0000178317,N0000178317,0,0
N0000178318,N0000178318,0,0
N0000178318,N0000178319,1,1
N0000178370,N0000178370,0,0
N0000178370,N0000178371,1,1
N0000178370,N0000178373,1,1
N0000193809,N0000193809,0,0
N0000193810,N0000193810,0,0
N0000193811,N0000193811,0,0
N0000193812,N0000193812,0,0
N0000193813,N0000193813,0,0
N0000193814,N0000193814,0,0
N0000193815,N0000193815,0,0
N0000193816,N0000193816,0,0
N0000193817,N0000193817,0,0
N0000193818,N0000193818,0,0
N0000193819,N0000193819,0,0
N0000193820,N0000193820,0,0
N0000193821,N0000193821,0,0
N0000193822,N0000193822,0,0
N0000193823,N0000193823,0,0
N0000193824,N0000193824,0,0
N0000193825,N0000193825,0,0
N0000193826,N0000193826,0,0
N0000193826,N0000193827,1,1
N0000193826,N0000193828,1,1
N0000193826,N0000193829,1,1
N0000193826,N0000193830,1,1
N0000193826,N0000193831,1,1
N0000193836,N0000193832,1,1
N0000193836,N0000193833,1,1
N0000193836,N0000193834,1,1
N0000193836,N0000193835,1,1
N0000193836,N0000193836,0,0
N0000193837,N0000193837,0,0
N0000193838,N0000193838,0,0
N0000193839,N0000193839,0,0
N0000193840,N0000193840,0,0
N0000193841,N0000193841,0,0
N0000193842,N0000193842,0,0
N0000193843,N0000193843,0,0
N0000193844,N0000193844,0,0
