ancestor_concept_code,descendant_concept_code,level_of_separation
CN000,CN709,2
CN700,CN709,1
CN709,CN709,0
VA000,CN750,2
CN000,CN750,1
CN750,CN750,0
VA000,CN800,2
VA000,CN801,3
CN000,CN800,1
CN000,CN801,2
CN800,CN800,0
CN800,CN801,1
CN801,CN801,0
VA000,CN802,3
CN000,CN802,2
CN800,CN802,1
CN802,CN802,0
VA000,CN809,3
CN000,CN809,2
CN800,CN809,1
CN809,CN809,0
VA000,CN850,2
CN000,CN850,1
CN850,CN850,0
VA000,CN900,2
CN000,CN900,1
CN900,CN900,0
VA000,CV000,1
VA000,CV050,2
CV000,CV000,0
CV000,CV050,1
CV050,CV050,0
VA000,CV100,2
CV000,CV100,1
CV100,CV100,0
VA000,CV150,2
CV000,CV150,1
CV150,CV150,0
VA000,CV200,2
CV000,CV200,1
CV200,CV200,0
VA000,CV250,2
CV000,CV250,1
CV250,CV250,0
VA000,CV300,2
CV000,CV300,1
CV300,CV300,0
VA000,CV350,2
CV000,CV350,1
CV350,CV350,0
VA000,CV400,2
CV000,CV400,1
CV400,CV400,0
VA000,CV490,2
CV000,CV490,1
CV490,CV490,0
VA000,CV500,2
CV000,CV500,1
CV500,CV500,0
VA000,CV600,2
CV000,CV600,1
CV600,CV600,0
VA000,CV700,2
VA000,CV701,3
CV000,CV700,1
CV000,CV701,2
CV700,CV700,0
CV700,CV701,1
CV701,CV701,0
VA000,CV702,3
CV000,CV702,2
CV700,CV702,1
CV702,CV702,0
VA000,CV703,3
CV000,CV703,2
CV700,CV703,1
CV703,CV703,0
VA000,CV704,3
CV000,CV704,2
CV700,CV704,1
CV704,CV704,0
VA000,CV709,3
CV000,CV709,2
CV700,CV709,1
CV709,CV709,0
VA000,CV800,2
CV000,CV800,1
CV800,CV800,0
VA000,CV805,2
CV000,CV805,1
CV805,CV805,0
VA000,CV806,2
CV000,CV806,1
CV806,CV806,0
VA000,CV900,2
CV000,CV900,1
CV900,CV900,0
VA000,DE000,1
VA000,DE100,2
VA000,DE101,3
DE000,DE000,0
DE000,DE100,1
DE000,DE101,2
DE100,DE100,0
DE100,DE101,1
DE101,DE101,0
VA000,DE102,3
DE000,DE102,2
DE100,DE102,1
DE102,DE102,0
VA000,DE103,3
DE000,DE103,2
DE100,DE103,1
DE103,DE103,0
VA000,DE109,3
DE000,DE109,2
DE100,DE109,1
DE109,DE109,0
VA000,DE200,2
DE000,DE200,1
DE200,DE200,0
VA000,DE250,2
DE000,DE250,1
DE250,DE250,0
VA000,DE300,2
DE000,DE300,1
DE300,DE300,0
VA000,DE350,2
DE000,DE350,1
DE350,DE350,0
VA000,DE400,2
DE000,DE400,1
DE400,DE400,0
VA000,DE450,2
DE000,DE450,1
DE450,DE450,0
VA000,DE500,2
DE000,DE500,1
DE500,DE500,0
VA000,DE600,2
DE000,DE600,1
DE600,DE600,0
VA000,DE650,2
DE000,DE650,1
DE650,DE650,0
VA000,DE700,2
DE000,DE700,1
DE700,DE700,0
VA000,DE750,2
VA000,DE751,3
DE000,DE750,1
DE000,DE751,2
DE750,DE750,0
DE750,DE751,1
DE751,DE751,0
VA000,DE752,3
DE000,DE752,2
DE750,DE752,1
DE752,DE752,0
VA000,DE800,2
VA000,DE810,3
