ancestor_concept_code,descendant_concept_code,level_of_separation
D018377,D018722,3
D018678,D018722,2
D018679,D018722,1
D018722,D018722,0
D020228,D018680,4
D020228,D018727,5
D045505,D018680,3
D045505,D018727,4
D018377,D018680,2
D018377,D018727,3
D018678,D018680,1
D018678,D018727,2
D018680,D018680,0
D018680,D018727,1
D018727,D018727,0
D020228,D018733,5
D045505,D018733,4
D018377,D018733,3
D018678,D018733,2
D018680,D018733,1
D018733,D018733,0
D020228,D065087,4
D045505,D065087,3
D018377,D065087,2
D018678,D065087,1
D065087,D065087,0
D020228,D018494,3
D020228,D006633,4
D020228,D006634,5
D020228,D039563,6
D045505,D018494,2
D045505,D006633,3
D045505,D006634,4
D045505,D039563,5
D018377,D018494,1
D018377,D006633,2
D018377,D006634,3
D018377,D039563,4
D018494,D018494,0
D018494,D006633,1
D018494,D006634,2
D018494,D039563,3
D006633,D006633,0
D006633,D006634,1
D006633,D039563,2
D006634,D006634,0
D006634,D039563,1
D039563,D039563,0
D020228,D006635,5
D045505,D006635,4
D018377,D006635,3
D018494,D006635,2
D006633,D006635,1
D006635,D006635,0
D020228,D054828,5
D045505,D054828,4
D018377,D054828,3
D018494,D054828,2
D006633,D054828,1
D054828,D054828,0
D020228,D017442,4
D045505,D017442,3
D018377,D017442,2
D018494,D017442,1
D017442,D017442,0
D020228,D018490,3
D020228,D012702,4
D020228,D058829,5
D045505,D018490,2
D045505,D012702,3
D045505,D058829,4
D018377,D018490,1
D018377,D012702,2
D018377,D058829,3
D018490,D018490,0
D018490,D012702,1
D018490,D058829,2
D012702,D012702,0
D012702,D058829,1
D058829,D058829,0
D020228,D058830,5
D045505,D058830,4
D018377,D058830,3
D018490,D058830,2
D012702,D058830,1
D058830,D058830,0
D020228,D058831,5
D045505,D058831,4
D018377,D058831,3
D018490,D058831,2
D012702,D058831,1
D058831,D058831,0
D020228,D058832,5
D045505,D058832,4
D018377,D058832,3
D018490,D058832,2
D012702,D058832,1
D058832,D058832,0
D020228,D017366,4
D020228,D058825,5
D045505,D017366,3
D045505,D058825,4
D018377,D017366,2
D018377,D058825,3
D018490,D017366,1
D018490,D058825,2
D017366,D017366,0
D017366,D058825,1
D058825,D058825,0
D020228,D058826,5
D045505,D058826,4
D018377,D058826,3
D018490,D058826,2
D017366,D058826,1
D058826,D058826,0
D020228,D058827,5
D045505,D058827,4
D018377,D058827,3
D018490,D058827,2
D017366,D058827,1
D058827,D058827,0
D020228,D058828,5
D045505,D058828,4
D018377,D058828,3
D018490,D058828,2
D017366,D058828,1
D058828,D058828,0
D018490,D017367,1
D020228,D015259,3
D020228,D018491,4
D045505,D015259,2
D045505,D018491,3
D018377,D015259,1
D018377,D018491,2
D015259,D015259,0
D015259,D018491,1
D018491,D018491,0
D020228,D018492,4
D020228,D065127,5
D045505,D018492,3
D045505,D065127,4
D018377,D018492,2
D018377,D065127,3
D015259,D018492,1
D015259,D065127,2
D018492,D018492,0
D018492,D065127,1
D065127,D065127,0
D015259,D018765,1
D020228,D018682,3
D020228,D018755,4
D020228,D058785,5
D045505,D018682,2
D045505,D018755,3
D045505,D058785,4
D018377,D018682,1
D018377,D018755,2
D018377,D058785,3
D018682,D018682,0
D018682,D018755,1
D018682,D058785,2
D018755,D018755,0
D018755,D058785,1
D058785,D058785,0
D020228,D058786,5
D045505,D058786,4
D018377,D058786,3
D018682,D058786,2
D018755,D058786,1
D058786,D058786,0
D020228,D018756,4
D020228,D058787,5
D045505,D018756,3
D045505,D058787,4
D018377,D018756,2
D018377,D058787,3
D018682,D018756,1
D018682,D058787,2
D018756,D018756,0
D018756,D058787,1
D058787,D058787,0
D020228,D058788,5
D045505,D058788,4
D018377,D058788,3
D018682,D058788,2
D018756,D058788,1
D058788,D058788,0
D020228,D018757,4
D045505,D018757,3
D018377,D018757,2
D018682,D018757,1
D018757,D018757,0
D018682,D058805,1
D020228,D018683,3
D020228,D018690,4
D045505,D018683,2
D045505,D018690,3
D018377,D018683,1
D018377,D018690,2
D018683,D018683,0
D018683,D018690,1
D018690,D018690,0
D020228,D018691,4
D045505,D018691,3
D018377,D018691,2
D018683,D018691,1
D018691,D018691,0
D020228,D018684,3
D045505,D018684,2
D018377,D018684,1
D018684,D018684,0
D020228,D058905,3
D020228,D058913,4
D020228,D058906,5
D020228,D058907,6
D045505,D058905,2
D045505,D058913,3
D045505,D058906,4
D045505,D058907,5
D018377,D058905,1
D018377,D058913,2
D018377,D058906,3
