ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
N0000008315,N0000008428,3,3
N0000008315,N0000008455,3,3
N0000008315,N0000008484,2,2
N0000008315,N0000008507,3,3
N0000008315,N0000008530,3,3
N0000008315,N0000008602,3,3
N0000008315,N0000008710,3,3
N0000008315,N0000008737,2,2
N0000008315,N0000008781,4,4
N0000008315,N0000008804,2,2
N0000008315,N0000008872,3,3
N0000008315,N0000008901,3,3
N0000008315,N0000008928,3,3
N0000008315,N0000008951,3,3
N0000008315,N0000008976,4,4
N0000008315,N0000009092,3,3
N0000008315,N0000009121,1,1
N0000008315,N0000009124,3,3
N0000008315,N0000009151,3,3
N0000008315,N0000009180,2,2
N0000008315,N0000009203,3,3
N0000008315,N0000009226,3,3
N0000008315,N0000009296,3,3
N0000008315,N0000009402,3,3
N0000008315,N0000009429,2,2
N0000008315,N0000009473,4,4
N0000008315,N0000009496,2,2
N0000008315,N0000009565,3,3
N0000008315,N0000009593,3,3
N0000008315,N0000009620,3,3
N0000008315,N0000009643,3,3
N0000008315,N0000009668,4,4
N0000008316,N0000008316,0,0
N0000008316,N0000008317,1,1
N0000008316,N0000008318,1,1
N0000008316,N0000008319,1,1
N0000008316,N0000009711,2,2
N0000008316,N0000009712,2,2
N0000008316,N0000009713,2,2
N0000008316,N0000009857,2,2
N0000008316,N0000009858,2,2
N0000008316,N0000009859,2,2
N0000008317,N0000008317,0,0
N0000008317,N0000009711,1,1
N0000008317,N0000009857,1,1
N0000008318,N0000008318,0,0
N0000008318,N0000009712,1,1
N0000008318,N0000009858,1,1
N0000008319,N0000008319,0,0
N0000008319,N0000009713,1,1
N0000008319,N0000009859,1,1
N0000008320,N0000008320,0,0
N0000008320,N0000008321,1,1
N0000008320,N0000008322,1,1
N0000008321,N0000008321,0,0
N0000008322,N0000008322,0,0
N0000008323,N0000008323,0,0
N0000008323,N0000008397,3,3
N0000008323,N0000008429,3,3
N0000008323,N0000008449,1,1
N0000008323,N0000008456,3,3
N0000008323,N0000008485,2,2
N0000008323,N0000008508,3,3
N0000008323,N0000008531,3,3
N0000008323,N0000008603,3,3
N0000008323,N0000008711,3,3
N0000008323,N0000008738,2,2
N0000008323,N0000008782,4,4
N0000008323,N0000008805,2,2
N0000008323,N0000008873,3,3
N0000008323,N0000008902,3,3
N0000008323,N0000008929,3,3
N0000008323,N0000008952,3,3
N0000008323,N0000008977,4,4
N0000008323,N0000009093,3,3
N0000008323,N0000009125,3,3
N0000008323,N0000009145,1,1
N0000008323,N0000009152,3,3
N0000008323,N0000009181,2,2
N0000008323,N0000009204,3,3
N0000008323,N0000009227,3,3
N0000008323,N0000009297,3,3
N0000008323,N0000009403,3,3
N0000008323,N0000009430,2,2
N0000008323,N0000009474,4,4
N0000008323,N0000009497,2,2
N0000008323,N0000009566,3,3
N0000008323,N0000009594,3,3
N0000008323,N0000009621,3,3
N0000008323,N0000009644,3,3
N0000008323,N0000009669,4,4
N0000008324,N0000008324,0,0
N0000008324,N0000008450,1,1
N0000008324,N0000009146,1,1
N0000008325,N0000008324,1,1
N0000008325,N0000008325,0,0
N0000008325,N0000008326,1,1
N0000008325,N0000008450,2,2
N0000008325,N0000008451,2,2
N0000008325,N0000009146,2,2
N0000008325,N0000009147,2,2
N0000008326,N0000008326,0,0
N0000008326,N0000008451,1,1
N0000008326,N0000009147,1,1
N0000008327,N0000008327,0,0
N0000008327,N0000008333,1,1
N0000008327,N0000008646,2,2
N0000008327,N0000008647,2,2
N0000008327,N0000008650,3,3
N0000008327,N0000008651,3,3
N0000008327,N0000008652,2,2
N0000008327,N0000009061,1,1
N0000008327,N0000009064,2,2
N0000008327,N0000009340,2,2
N0000008327,N0000009341,2,2
N0000008327,N0000009344,3,3
N0000008327,N0000009345,3,3
N0000008327,N0000009346,2,2
N0000008327,N0000020040,1,1
