concept_code_1,relationship_id,relationship_source,relationship_type,concept_code_2
HA000,Subsumes,VA,DIRECT,4025382
HA000,Subsumes,VA,DIRECT,4025376
HA000,Subsumes,VA,DIRECT,4017300
HA000,Subsumes,VA,DIRECT,4026003
HA000,Subsumes,VA,DIRECT,4017003
HA000,Subsumes,VA,DIRECT,4025347
PH000,Subsumes,VA,DIRECT,4010525
PH000,Subsumes,VA,DIRECT,4003007
PH000,Subsumes,VA,DIRECT,4009800
PH000,Subsumes,VA,DIRECT,4032020
PH000,Subsumes,VA,DIRECT,4009803
PH000,Subsumes,VA,DIRECT,4009766
PH000,Subsumes,VA,DIRECT,4010025
PH000,Subsumes,VA,DIRECT,4009804
PH000,Subsumes,VA,DIRECT,4009746
PH000,Subsumes,VA,DIRECT,4009545
PH000,Subsumes,VA,DIRECT,4017009
PH000,Subsumes,VA,DIRECT,4010220
PH000,Subsumes,VA,DIRECT,4008142
PH000,Subsumes,VA,DIRECT,4009793
PH000,Subsumes,VA,DIRECT,4009805
PH000,Subsumes,VA,DIRECT,4025048
PH000,Subsumes,VA,DIRECT,4010510
PH000,Subsumes,VA,DIRECT,4009801
PH000,Subsumes,VA,DIRECT,4026083
VA000,Subsumes,VA,INDIRECT,4017099
VA000,Subsumes,VA,INDIRECT,4010525
VA000,Subsumes,VA,INDIRECT,4003007
VA000,Subsumes,VA,INDIRECT,4017007
VA000,Subsumes,VA,INDIRECT,4009800
VA000,Subsumes,VA,INDIRECT,4032020
VA000,Subsumes,VA,INDIRECT,4016017
VA000,Subsumes,VA,INDIRECT,4015995
VA000,Subsumes,VA,INDIRECT,4025385
VA000,Subsumes,VA,INDIRECT,4025357
VA000,Subsumes,VA,INDIRECT,4009803
VA000,Subsumes,VA,INDIRECT,4016014
VA000,Subsumes,VA,INDIRECT,4009766
VA000,Subsumes,VA,INDIRECT,4025352
VA000,Subsumes,VA,INDIRECT,4010025
VA000,Subsumes,VA,INDIRECT,4025365
VA000,Subsumes,VA,INDIRECT,4009804
VA000,Subsumes,VA,INDIRECT,4009746
VA000,Subsumes,VA,INDIRECT,4017225
VA000,Subsumes,VA,INDIRECT,4025356
VA000,Subsumes,VA,INDIRECT,4009769
VA000,Subsumes,VA,INDIRECT,4017224
VA000,Subsumes,VA,INDIRECT,4025364
