ancestor_concept_code,descendant_concept_code,min_levels_of_separation,max_levels_of_separation
D000970,D019653,1,1
D000970,D020533,1,1
D000970,D050256,1,1
D000970,D050257,2,2
D000970,D059003,1,1
D000970,D059004,2,2
D000970,D059005,2,2
D000972,D000972,0,0
D000975,D000975,0,0
D000975,D016166,1,1
D000977,D000563,2,2
D000977,D000871,1,1
D000977,D000923,3,3
D000977,D000962,2,2
D000977,D000969,2,2
D000977,D000977,0,0
D000977,D000980,2,2
D000977,D000981,1,1
D000977,D000994,2,2
D000977,D003049,2,2
D000977,D005369,3,3
D000977,D012556,3,3
D000977,D014344,2,2
D000978,D000978,0,0
D000978,D065098,1,1
D000978,D065105,1,1
D000980,D000923,1,1
D000980,D000980,0,0
D000980,D012556,1,1
D000981,D000563,1,1
D000981,D000962,1,1
D000981,D000981,0,0
D000981,D000994,1,1
D000981,D003049,1,1
D000981,D014344,1,1
D000982,D000982,0,0
D000986,D000986,0,0
D000988,D000988,0,0
D000988,D013078,1,1
D000988,D013089,1,1
D000988,D013092,1,1
D000991,D000991,0,0
D000991,D065427,1,1
D000993,D000993,0,0
D000994,D000994,0,0
D000995,D000904,1,1
D000995,D000995,0,0
D000996,D000996,0,0
D000998,D000084762,1,1
D000998,D000085683,2,2
D000998,D000088802,2,2
D000998,D000998,0,0
D000998,D017320,2,3
D000998,D018894,1,1
D000998,D019380,2,2
D000998,D019428,3,3
D000998,D023581,2,3
D000998,D044966,1,1
D000998,D065100,3,3
D000998,D065147,1,1
D001046,D001046,0,0
D001067,D001067,0,0
D001252,D001252,0,0
D001337,D000932,1,1
D001337,D001337,0,0
D001337,D001993,1,1
D001337,D004639,1,1
D001337,D005730,1,1
D001337,D005731,1,1
D001337,D008916,1,1
D001337,D009184,1,1
D001337,D010276,1,1
D001337,D010277,1,1
D001337,D013565,1,1
D001337,D013566,1,1
D001337,D016085,1,1
D001685,D000975,1,1
D001685,D001685,0,0
D001685,D016166,2,2
D001697,D001697,0,0
D001697,D002327,1,1
D001697,D012388,1,1
D001798,D000906,3,3
D001798,D000922,5,5
D001798,D001798,0,0
D001798,D007136,2,2
D001798,D007162,1,1
D001798,D012712,1,1
D001798,D018796,4,4
D001802,D001802,0,0
D001802,D010952,1,1
D001993,D001993,0,0
D002120,D002120,0,0
D002121,D002121,0,0
D002257,D002257,0,0
D002314,D002314,0,0
D002316,D002316,0,0
D002317,D000889,1,1
D002317,D000959,1,1
D002317,D002120,2,2
D002317,D002121,1,1
D002317,D002317,0,0
D002317,D004232,2,2
D002317,D004234,3,3
D002317,D005343,1,1
D002317,D014662,1,1
D002317,D014663,2,2
D002317,D014665,1,1
D002317,D020030,1,1
D002317,D026902,1,1
D002317,D026941,1,1
D002317,D045283,1,1
D002317,D045462,2,2
D002317,D049993,3,3
D002317,D049994,3,3
D002317,D050034,2,2
D002317,D061567,2,2
D002317,D062646,2,2
D002317,D062686,2,4
D002317,D062865,3,3
D002317,D065067,2,2
D002317,D065092,2,2
D002327,D002327,0,0
D002400,D002400,0,0
D002491,D000068776,3,3
D002491,D000068796,4,4
D002491,D000077221,2,2
D002491,D000427,1,1
D002491,D000697,1,1
D002491,D000700,1,1
D002491,D000701,3,3
D002491,D000759,1,1
D002491,D000777,2,2
D002491,D000778,5,5
D002491,D000779,3,3
D002491,D000894,3,3
D002491,D000927,1,1
D002491,D000928,2,2
D002491,D000929,3,3
D002491,D000932,1,1
D002491,D000978,2,2
D002491,D000996,1,1
D002491,D001046,2,2
D002491,D002491,0,0
D002491,D002492,1,1
D002491,D003292,2,2
D002491,D004639,1,1
D002491,D006213,2,2
D002491,D006993,2,2
D002491,D009125,1,1
D002491,D009292,1,1
D002491,D009294,2,2
D002491,D011619,1,1
D002491,D014149,2,2
D002491,D014150,3,3
D002491,D014151,3,3
D002491,D016861,4,4
D002491,D018681,3,3
D002491,D018685,4,4
D002491,D018686,4,4
D002491,D018687,3,3
D002491,D018692,3,3
D002491,D018696,1,1
D002491,D018697,1,1
D002491,D018712,2,2
D002491,D018726,1,1
D002491,D019162,3,3
D002491,D019167,2,2
D002491,D052246,5,5
D002491,D057133,2,2
D002491,D059846,2,2
D002491,D064690,2,2
D002491,D065098,3,3
D002491,D065105,3,3
D002492,D000068776,2,2
D002492,D000068796,3,3
D002492,D000701,2,2
D002492,D000777,1,1
D002492,D000778,4,4
D002492,D000779,2,2
D002492,D002492,0,0
D002492,D006993,1,1
D002492,D009294,1,1
D002492,D014149,1,1
D002492,D014150,2,2
D002492,D014151,2,2
D002492,D018681,2,2
D002492,D018685,3,3
D002492,D018686,3,3
D002492,D018692,2,2
D002492,D019162,2,2
D002614,D002614,0,0
D002614,D007502,1,1
D002614,D017262,2,2
D002614,D065096,1,1
D002756,D002756,0,0
D002800,D002800,0,0
D002801,D002801,0,0
D003029,D000089964,2,2
D003029,D000373,1,1
D003029,D000933,2,2
D003029,D003029,0,0
D003029,D006388,2,2
D003029,D006490,1,1
D003029,D006494,1,1
D003049,D003049,0,0
D003102,D003102,0,0
D003102,D004655,1,1
D003102,D005217,2,2
D003270,D000080066,1,1
D003270,D003270,0,0
D003270,D003271,1,1
D003270,D003272,1,1
D003270,D003276,2,2
D003270,D003278,2,3
D003270,D003279,3,3
D003270,D003280,3,3
D003270,D003281,2,2
D003270,D003282,2,3
D003270,D003283,3,3
D003270,D008186,2,2
D003270,D008600,2,2
D003271,D003271,0,0
D003271,D003276,1,1
