concept_code,standard_concept,class_type
N0000175707,C,MOA
N0000175709,C,MOA
N0000175717,C,MOA
N0000175718,C,MOA
N0000175756,C,MOA
N0000175760,C,MOA
N0000175761,C,MOA
N0000175763,C,MOA
N0000175764,C,MOA
N0000175770,C,MOA
N0000175773,C,MOA
N0000175774,C,MOA
N0000175787,C,MOA
N0000175788,C,MOA
N0000175789,C,MOA
N0000175792,C,MOA
N0000175799,C,MOA
N0000175806,C,MOA
N0000175808,C,MOA
N0000175816,C,MOA
N0000175817,C,MOA
N0000175833,C,MOA
N0000175850,C,MOA
N0000175862,C,MOA
N0000175869,C,MOA
N0000175912,C,MOA
N0000175917,C,MOA
N0000175921,C,MOA
N0000175926,C,MOA
N0000175955,C,MOA
N0000175962,C,MOA
N0000175964,C,MOA
N0000175967,C,MOA
N0000175968,C,MOA
N0000175974,C,MOA
N0000175981,C,MOA
N0000175985,C,MOA
N0000178291,C,MOA
N0000178332,C,MOA
N0000178333,C,MOA
N0000178377,C,MOA
N0000181002,C,MOA
N0000181003,C,MOA
N0000181004,C,MOA
N0000181005,C,MOA
N0000181006,C,MOA
N0000181007,C,MOA
N0000181008,C,MOA
N0000181009,C,MOA
N0000181812,C,MOA
N0000181813,C,MOA
N0000181814,C,MOA
N0000181815,C,MOA
N0000181818,C,MOA
N0000181819,C,MOA
N0000182139,C,MOA
N0000182140,C,MOA
N0000182143,C,MOA
N0000182145,C,MOA
N0000182146,C,MOA
N0000182147,C,MOA
N0000182148,C,MOA
N0000182150,C,MOA
N0000182151,C,MOA
N0000182632,C,MOA
N0000182634,C,MOA
N0000182636,C,MOA
N0000182638,C,MOA
N0000182728,C,MOA
N0000182960,C,MOA
N0000182962,C,MOA
N0000182963,C,MOA
N0000182964,C,MOA
N0000182966,C,MOA
N0000184008,C,MOA
N0000184009,C,MOA
N0000184010,C,MOA
N0000184011,C,MOA
N0000184141,C,MOA
N0000184142,C,MOA
N0000184143,C,MOA
N0000184145,C,MOA
N0000184147,C,MOA
N0000184148,C,MOA
N0000184150,C,MOA
N0000184151,C,MOA
N0000185007,C,MOA
N0000185009,C,MOA
N0000185499,C,MOA
N0000185501,C,MOA
N0000185504,C,MOA
N0000186778,C,MOA
N0000187054,C,MOA
N0000187056,C,MOA
N0000187058,C,MOA
N0000187060,C,MOA
N0000187063,C,MOA
N0000187064,C,MOA
N0000188368,C,MOA
N0000188369,C,MOA
N0000188372,C,MOA
N0000188373,C,MOA
N0000188374,C,MOA
N0000188376,C,MOA
N0000188377,C,MOA
N0000188378,C,MOA
N0000188379,C,MOA
N0000188381,C,MOA
N0000190109,C,MOA
N0000190112,C,MOA
N0000190113,C,MOA
N0000190115,C,MOA
N0000190477,C,MOA
N0000190478,C,MOA
N0000190481,C,MOA
N0000190482,C,MOA
N0000190855,C,MOA
N0000190857,C,MOA
N0000190989,C,MOA
N0000190990,C,MOA
N0000190993,C,MOA
N0000190994,C,MOA
N0000190995,C,MOA
N0000190997,C,MOA
N0000190998,C,MOA
N0000191002,C,MOA
N0000191004,C,MOA
N0000191258,C,MOA
N0000191259,C,MOA
N0000191262,C,MOA
N0000191266,C,MOA
N0000191267,C,MOA
N0000191269,C,MOA
N0000191270,C,MOA
N0000191271,C,MOA
N0000191272,C,MOA
N0000191273,C,MOA
N0000191274,C,MOA
N0000191275,C,MOA
N0000191276,C,MOA
N0000191277,C,MOA
N0000191278,C,MOA
N0000191422,C,MOA
N0000191423,C,MOA
N0000191494,C,MOA
N0000191498,C,MOA
N0000191501,C,MOA
N0000191502,C,MOA
N0000191545,C,MOA
N0000191546,C,MOA
N0000191622,C,MOA
N0000191624,C,MOA
N0000191729,C,MOA
N0000191730,C,MOA
N0000191866,C,MOA
N0000191868,C,MOA
N0000191869,C,MOA
N0000191871,C,MOA
N0000192335,C,MOA
N0000192337,C,MOA
N0000192340,C,MOA
N0000192345,C,MOA
N0000192560,C,MOA
N0000192700,C,MOA
N0000192702,C,MOA
N0000192796,C,MOA
N0000192798,C,MOA
N0000193178,C,MOA
N0000193179,C,MOA
N0000193277,C,MOA
N0000193278,C,MOA
N0000193302,C,MOA
N0000193337,C,MOA
N0000193340,C,MOA
N0000193341,C,MOA
N0000193542,C,MOA
N0000193616,C,MOA
N0000193786,C,MOA
N0000193787,C,MOA
N0000193789,C,MOA
N0000193791,C,MOA
N0000193792,C,MOA
N0000193793,C,MOA
N0000193794,C,MOA
N0000193795,C,MOA
N0000193805,C,MOA
N0000193807,C,MOA
N0000193851,C,MOA
N0000193853,C,MOA
N0000193859,C,MOA
N0000193860,C,MOA
N0000193861,C,MOA
N0000193933,C,MOA
N0000193953,C,MOA
N0000193958,C,MOA
N0000193959,C,MOA
N0000193964,C,MOA
N0000193968,C,MOA
N0000193977,C,MOA
