classId1,rela,classId2
N0000009770,isa,N0000009802
N0000008331,isa,N0000009770
N0000009770,isa,N0000009802
N0000008332,isa,N0000009022
N0000009022,isa,N0000009770
N0000009770,isa,N0000009802
N0000008327,isa,N0000009748
N0000008333,isa,N0000008327
N0000009057,isa,N0000009802
N0000009748,isa,N0000009057
N0000008334,isa,N0000008346
N0000008337,isa,N0000009057
N0000008346,isa,N0000008337
N0000009057,isa,N0000009802
N0000008335,isa,N0000008346
N0000008337,isa,N0000009057
N0000008346,isa,N0000008337
N0000009057,isa,N0000009802
N0000008336,isa,N0000008346
N0000008337,isa,N0000009057
N0000008346,isa,N0000008337
N0000009057,isa,N0000009802
N0000008337,isa,N0000009057
N0000009057,isa,N0000009802
N0000008337,isa,N0000009057
N0000008338,isa,N0000008337
N0000009057,isa,N0000009802
N0000008337,isa,N0000009057
N0000008339,isa,N0000008337
N0000009057,isa,N0000009802
N0000008337,isa,N0000009057
N0000008339,isa,N0000008337
N0000008340,isa,N0000008339
N0000009057,isa,N0000009802
N0000008337,isa,N0000009057
N0000008341,isa,N0000008337
N0000009057,isa,N0000009802
N0000008337,isa,N0000009057
N0000008339,isa,N0000008337
N0000008342,isa,N0000008339
N0000009057,isa,N0000009802
N0000008337,isa,N0000009057
N0000008339,isa,N0000008337
N0000008343,isa,N0000008339
N0000009057,isa,N0000009802
N0000008337,isa,N0000009057
N0000008339,isa,N0000008337
N0000008343,isa,N0000008339
N0000008344,isa,N0000020013
N0000009057,isa,N0000009802
N0000020013,isa,N0000008343
N0000008337,isa,N0000009057
N0000008345,isa,N0000008337
N0000009057,isa,N0000009802
N0000008337,isa,N0000009057
N0000008346,isa,N0000008337
N0000009057,isa,N0000009802
N0000008337,isa,N0000009057
N0000008339,isa,N0000008337
N0000008347,isa,N0000008339
N0000009057,isa,N0000009802
N0000008337,isa,N0000009057
N0000008339,isa,N0000008337
N0000008348,isa,N0000008339
N0000009057,isa,N0000009802
N0000008337,isa,N0000009057
N0000008339,isa,N0000008337
N0000008348,isa,N0000008339
N0000008349,isa,N0000008348
N0000009057,isa,N0000009802
N0000008337,isa,N0000009057
N0000008350,isa,N0000008337
N0000009057,isa,N0000009802
N0000008298,isa,N0000009908
N0000008331,isa,N0000009770
N0000008351,isa,N0000008298
N0000009770,isa,N0000009802
N0000009906,isa,N0000020002
N0000009908,isa,N0000009906
N0000020002,isa,N0000008331
N0000008299,isa,N0000009909
N0000008331,isa,N0000009770
N0000008352,isa,N0000008299
N0000009770,isa,N0000009802
N0000009906,isa,N0000020002
N0000009909,isa,N0000009906
N0000020002,isa,N0000008331
N0000008353,isa,N0000008354
N0000008354,isa,N0000009044
N0000009044,isa,N0000009833
N0000009770,isa,N0000009802
N0000009833,isa,N0000009770
N0000008354,isa,N0000009044
N0000009044,isa,N0000009833
N0000009770,isa,N0000009802
N0000009833,isa,N0000009770
N0000008354,isa,N0000009044
N0000008355,isa,N0000008354
N0000008355,isa,N0000010268
N0000009044,isa,N0000009833
N0000009755,isa,N0000009770
N0000009759,isa,N0000009770
N0000009770,isa,N0000009802
N0000009833,isa,N0000009770
N0000010268,isa,N0000009755
N0000010268,isa,N0000175642
N0000175642,isa,N0000175725
N0000175725,isa,N0000009759
N0000008304,isa,N0000009022
N0000008356,isa,N0000020054
N0000009022,isa,N0000009770
N0000009770,isa,N0000009802
N0000020054,isa,N0000008304
N0000008304,isa,N0000009022
N0000008357,isa,N0000020054
N0000009022,isa,N0000009770
N0000009770,isa,N0000009802
N0000020054,isa,N0000008304
N0000008358,isa,N0000008360
N0000008360,isa,N0000010222
N0000009057,isa,N0000009802
N0000009739,isa,N0000009748
N0000009748,isa,N0000009057
N0000010222,isa,N0000009739
N0000008359,isa,N0000008360
N0000008360,isa,N0000010222
N0000009057,isa,N0000009802
N0000009739,isa,N0000009748
N0000009748,isa,N0000009057
N0000010222,isa,N0000009739
N0000008360,isa,N0000010222
N0000009057,isa,N0000009802
N0000009739,isa,N0000009748
N0000009748,isa,N0000009057
N0000010222,isa,N0000009739
N0000008360,isa,N0000010222
N0000008361,isa,N0000008360
N0000009057,isa,N0000009802
N0000009739,isa,N0000009748
N0000009748,isa,N0000009057
N0000010222,isa,N0000009739
N0000008362,isa,N0000008363
N0000008363,isa,N0000009070
N0000009065,isa,N0000009069
N0000009069,isa,N0000009770
N0000009070,isa,N0000009065
N0000009770,isa,N0000009802
N0000008363,isa,N0000009070
N0000009065,isa,N0000009069
N0000009069,isa,N0000009770
N0000009070,isa,N0000009065
N0000009770,isa,N0000009802
N0000008363,isa,N0000009070
N0000008364,isa,N0000008363
N0000009065,isa,N0000009069
N0000009069,isa,N0000009770
N0000009070,isa,N0000009065
N0000009770,isa,N0000009802
N0000008365,isa,N0000008373
N0000008373,isa,N0000009755
N0000009755,isa,N0000009770
N0000009770,isa,N0000009802
N0000008365,isa,N0000008373
N0000008366,isa,N0000008365
N0000008373,isa,N0000009755
N0000009755,isa,N0000009770
N0000009770,isa,N0000009802
N0000008365,isa,N0000008373
N0000008367,isa,N0000008365
N0000008373,isa,N0000009755
N0000009755,isa,N0000009770
N0000009770,isa,N0000009802
N0000008368,isa,N0000009832
N0000009770,isa,N0000009802
N0000009832,isa,N0000009770
N0000008330,isa,N0000008331
N0000008331,isa,N0000009770
N0000008369,isa,N0000008330
N0000009770,isa,N0000009802
N0000008330,isa,N0000008331
N0000008331,isa,N0000009770
N0000008370,isa,N0000008330
N0000009770,isa,N0000009802
N0000008298,isa,N0000009908
N0000008331,isa,N0000009770
N0000008371,isa,N0000009751
N0000009751,isa,N0000008298
N0000009770,isa,N0000009802
N0000009906,isa,N0000020002
N0000009908,isa,N0000009906
N0000020002,isa,N0000008331
N0000008299,isa,N0000009909
N0000008331,isa,N0000009770
N0000008372,isa,N0000009752
N0000009752,isa,N0000008299
N0000009770,isa,N0000009802
N0000009906,isa,N0000020002
N0000009909,isa,N0000009906
N0000020002,isa,N0000008331
N0000008373,isa,N0000009755
N0000009755,isa,N0000009770
N0000009770,isa,N0000009802
N0000008298,isa,N0000009908
N0000008331,isa,N0000009770
