classId,className,classType
SCHEDULE0,CSA SCHEDULE,SCHEDULE
SCHEDULE0,CSA SCHEDULE,SCHEDULE
SCHEDULE1,SCHEDULE I,SCHEDULE
SCHEDULE0,CSA SCHEDULE,SCHEDULE
SCHEDULE2,SCHEDULE II,SCHEDULE
SCHEDULE0,CSA SCHEDULE,SCHEDULE
SCHEDULE3,SCHEDULE III,SCHEDULE
SCHEDULE0,CSA SCHEDULE,SCHEDULE
SCHEDULE4,SCHEDULE IV,SCHEDULE
SCHEDULE0,CSA SCHEDULE,SCHEDULE
SCHEDULE5,SCHEDULE V,SCHEDULE
