concept_code_1,class_type_1,relationship_id,relationship_source,relationship_type,concept_code_2,class_type_2
11413,EPC,Mapped from,FDASPL,NA,11413,EPC
1546017,EPC,Mapped from,FDASPL,NA,1546017,EPC
190521,EPC,Mapped from,FDASPL,NA,190521,EPC
276237,EPC,Mapped from,FDASPL,NA,276237,EPC
3364,EPC,Mapped from,FDASPL,NA,3364,EPC
59763,EPC,Mapped from,FDASPL,NA,59763,EPC
68244,EPC,Mapped from,FDASPL,NA,68244,EPC
1102270,EPC,Mapped from,FDASPL,NA,1102270,EPC
195085,EPC,Mapped from,FDASPL,NA,195085,EPC
2055755,EPC,Mapped from,FDASPL,NA,2055755,EPC
475969,EPC,Mapped from,FDASPL,NA,475969,EPC
53654,EPC,Mapped from,FDASPL,NA,53654,EPC
10803,EPC,Mapped from,FDASPL,NA,10803,EPC
1546027,EPC,Mapped from,FDASPL,NA,1546027,EPC
16521,EPC,Mapped from,FDASPL,NA,16521,EPC
281,EPC,Mapped from,FDASPL,NA,281,EPC
5653,EPC,Mapped from,FDASPL,NA,5653,EPC
59839,EPC,Mapped from,FDASPL,NA,59839,EPC
68099,EPC,Mapped from,FDASPL,NA,68099,EPC
73645,EPC,Mapped from,FDASPL,NA,73645,EPC
9344,EPC,Mapped from,FDASPL,NA,9344,EPC
4451,EPC,Mapped from,FDASPL,NA,4451,EPC
33562,EPC,Mapped from,FDASPL,NA,33562,EPC
10798,EPC,Mapped from,FDASPL,NA,10798,EPC
11645,EPC,Mapped from,FDASPL,NA,11645,EPC
3131,EPC,Mapped from,FDASPL,NA,3131,EPC
342965,EPC,Mapped from,FDASPL,NA,342965,EPC
3445,EPC,Mapped from,FDASPL,NA,3445,EPC
3446,EPC,Mapped from,FDASPL,NA,3446,EPC
3690,EPC,Mapped from,FDASPL,NA,3690,EPC
3755,EPC,Mapped from,FDASPL,NA,3755,EPC
614373,EPC,Mapped from,FDASPL,NA,614373,EPC
235473,EPC,Mapped from,FDASPL,NA,235473,EPC
11289,EPC,Mapped from,FDASPL,NA,11289,EPC
10109,EPC,Mapped from,FDASPL,NA,10109,EPC
10627,EPC,Mapped from,FDASPL,NA,10627,EPC
1596450,EPC,Mapped from,FDASPL,NA,1596450,EPC
6099,EPC,Mapped from,FDASPL,NA,6099,EPC
641,EPC,Mapped from,FDASPL,NA,641,EPC
7299,EPC,Mapped from,FDASPL,NA,7299,EPC
2348,EPC,Mapped from,FDASPL,NA,2348,EPC
10450,EPC,Mapped from,FDASPL,NA,10450,EPC
2118525,EPC,Mapped from,FDASPL,NA,2118525,EPC
430,EPC,Mapped from,FDASPL,NA,430,EPC
6672,EPC,Mapped from,FDASPL,NA,6672,EPC
8628,EPC,Mapped from,FDASPL,NA,8628,EPC
18343,EPC,Mapped from,FDASPL,NA,18343,EPC
2382,EPC,Mapped from,FDASPL,NA,2382,EPC
2393,EPC,Mapped from,FDASPL,NA,2393,EPC
2584841,EPC,Mapped from,FDASPL,NA,2584841,EPC
5521,EPC,Mapped from,FDASPL,NA,5521,EPC
60212,EPC,Mapped from,FDASPL,NA,60212,EPC
6694,EPC,Mapped from,FDASPL,NA,6694,EPC
847728,EPC,Mapped from,FDASPL,NA,847728,EPC
8687,EPC,Mapped from,FDASPL,NA,8687,EPC
9010,EPC,Mapped from,FDASPL,NA,9010,EPC
9071,EPC,Mapped from,FDASPL,NA,9071,EPC
1364504,EPC,Mapped from,FDASPL,NA,1364504,EPC
35617,EPC,Mapped from,FDASPL,NA,35617,EPC
4110,EPC,Mapped from,FDASPL,NA,4110,EPC
4127,EPC,Mapped from,FDASPL,NA,4127,EPC
55672,EPC,Mapped from,FDASPL,NA,55672,EPC
6038,EPC,Mapped from,FDASPL,NA,6038,EPC
78903,EPC,Mapped from,FDASPL,NA,78903,EPC
8987,EPC,Mapped from,FDASPL,NA,8987,EPC
1426,EPC,Mapped from,FDASPL,NA,1426,EPC
1494066,EPC,Mapped from,FDASPL,NA,1494066,EPC
299081,EPC,Mapped from,FDASPL,NA,299081,EPC
6069,EPC,Mapped from,FDASPL,NA,6069,EPC
31819,EPC,Mapped from,FDASPL,NA,31819,EPC
569,EPC,Mapped from,FDASPL,NA,569,EPC
7934,EPC,Mapped from,FDASPL,NA,7934,EPC
7994,EPC,Mapped from,FDASPL,NA,7994,EPC
8611,EPC,Mapped from,FDASPL,NA,8611,EPC
121243,EPC,Mapped from,FDASPL,NA,121243,EPC
1482680,EPC,Mapped from,FDASPL,NA,1482680,EPC
1539753,EPC,Mapped from,FDASPL,NA,1539753,EPC
1720882,EPC,Mapped from,FDASPL,NA,1720882,EPC
19884,EPC,Mapped from,FDASPL,NA,19884,EPC
2623,EPC,Mapped from,FDASPL,NA,2623,EPC
28031,EPC,Mapped from,FDASPL,NA,28031,EPC
282446,EPC,Mapped from,FDASPL,NA,282446,EPC
32638,EPC,Mapped from,FDASPL,NA,32638,EPC
36435,EPC,Mapped from,FDASPL,NA,36435,EPC
37319,EPC,Mapped from,FDASPL,NA,37319,EPC
3743,EPC,Mapped from,FDASPL,NA,3743,EPC
37806,EPC,Mapped from,FDASPL,NA,37806,EPC
38298,EPC,Mapped from,FDASPL,NA,38298,EPC
4450,EPC,Mapped from,FDASPL,NA,4450,EPC
6135,EPC,Mapped from,FDASPL,NA,6135,EPC
6932,EPC,Mapped from,FDASPL,NA,6932,EPC
1040005,EPC,Mapped from,FDASPL,NA,1040005,EPC
1299782,EPC,Mapped from,FDASPL,NA,1299782,EPC
