rxcui,name,tty,SourceId,SourceName,Relation,classId
1360631,mustard oil,IN,4025356,MUSTARD OIL,INDIRECT,VA000
1363043,ethyl ether,IN,4009769,ETHER,INDIRECT,VA000
1431224,grapefruit juice,IN,4017224,GRAPEFRUIT JUICE,INDIRECT,VA000
2118124,dillweed oil,IN,4025364,DILLWEED OIL,INDIRECT,VA000
2129,castor oil,IN,4008463,CASTOR OIL,INDIRECT,VA000
221916,chamomile flowers,IN,4009759,CHAMOMILE FLOWERS,INDIRECT,VA000
239351,liquefied phenol,PIN,4009545,PHENOL LIQUID,INDIRECT,VA000
258439,heavy mineral oil,IN,4009127,"MINERAL OIL,HEAVY",INDIRECT,VA000
2669,cod liver oil,IN,4009442,COD LIVER OIL,INDIRECT,VA000
28486,lavender oil,IN,4025354,LAVENDER OIL,INDIRECT,VA000
285160,pokeweed preparation,IN,4025382,POKEWEED EXTRACT,INDIRECT,VA000
32926,paregoric,IN,4001272,PAREGORIC,INDIRECT,VA000
33094,peppermint oil,IN,4017009,PEPPERMINT OIL,INDIRECT,VA000
350489,Viscum album preparation,IN,4025376,MISTLETOE EXTRACT,INDIRECT,VA000
485876,beta sitosterol / zinc citrate,MIN,4017300,BETA SITOSTEROL/ZINC CITRATE,INDIRECT,VA000
577312,"mineral oil, light",IN,4009123,"MINERAL OIL,LIGHT",INDIRECT,VA000
587318,glycolic acid,PIN,4010220,GLYCOLIC ACID,INDIRECT,VA000
59087,Eucalyptus oil,IN,4008142,EUCALYPTUS OIL,INDIRECT,VA000
6404,linseed oil,IN,4009793,LINSEED OIL,INDIRECT,VA000
705279,oregano oil,IN,4026003,OREGANO OIL,INDIRECT,VA000
7624,clove oil,IN,4009805,CLOVE OIL,INDIRECT,VA000
7906,paraffin,IN,4025048,PARAFFIN WAX,INDIRECT,VA000
8514,polyethylene glycol 400,IN,4010510,POLYETHYLENE GLYCOL 400,INDIRECT,VA000
90732,coal tar pitch volatiles,PIN,4005590,COAL TAR DISTILLATE,INDIRECT,VA000
90926,anise oil,IN,4009801,ANISE OIL,INDIRECT,VA000
90945,rosemary oil,IN,4017003,ROSEMARY OIL,INDIRECT,VA000
90950,thyme oil,IN,4025347,THYME OIL,INDIRECT,VA000
9515,safflower oil,IN,4026083,SAFFLOWER OIL,INDIRECT,VA000
2669,cod liver oil,IN,4009442,COD LIVER OIL,INDIRECT,VT000
2669,cod liver oil,IN,4009442,COD LIVER OIL,INDIRECT,VT800
2669,cod liver oil,IN,4009442,COD LIVER OIL,DIRECT,VT801
